date,transactions
2020-12-25T00:00:00Z,136251
2020-12-26T00:00:00Z,131435
2020-12-27T00:00:00Z,137819
2020-12-28T00:00:00Z,147083
2020-12-29T00:00:00Z,143928
2020-12-30T00:00:00Z,135525
2020-12-31T00:00:00Z,143533
2021-01-01T00:00:00Z,144934
2021-01-02T00:00:00Z,142576
2021-01-03T00:00:00Z,126850
2021-01-04T00:00:00Z,104798
2021-01-05T00:00:00Z,118549
2021-01-06T00:00:00Z,114750
2021-01-07T00:00:00Z,101841
2021-01-08T00:00:00Z,105159
2021-01-09T00:00:00Z,122042
2021-01-10T00:00:00Z,120473
2021-01-11T00:00:00Z,95813
2021-01-12T00:00:00Z,115346
2021-01-13T00:00:00Z,115382
2021-01-14T00:00:00Z,133485
2021-01-15T00:00:00Z,127480
2021-01-16T00:00:00Z,143557
2021-01-17T00:00:00Z,155010
2021-01-18T00:00:00Z,165889
2021-01-19T00:00:00Z,145168
2021-01-20T00:00:00Z,144169
2021-01-21T00:00:00Z,134890
2021-01-22T00:00:00Z,132089
2021-01-23T00:00:00Z,152619
2021-01-24T00:00:00Z,165552
2021-01-25T00:00:00Z,157469
2021-01-26T00:00:00Z,150182
2021-01-27T00:00:00Z,151872
2021-01-28T00:00:00Z,148575
2021-01-29T00:00:00Z,136986
2021-01-30T00:00:00Z,150174
2021-01-31T00:00:00Z,171921
2021-02-01T00:00:00Z,167138
2021-02-02T00:00:00Z,156218
2021-02-03T00:00:00Z,160193
2021-02-04T00:00:00Z,148564
2021-02-05T00:00:00Z,163877
2021-02-06T00:00:00Z,154136
2021-02-07T00:00:00Z,168559
2021-02-08T00:00:00Z,158950
2021-02-09T00:00:00Z,158428
2021-02-10T00:00:00Z,145630
2021-02-11T00:00:00Z,160154
2021-02-12T00:00:00Z,176574
2021-02-13T00:00:00Z,181184
2021-02-14T00:00:00Z,186338
2021-02-15T00:00:00Z,172542
2021-02-16T00:00:00Z,164328
2021-02-17T00:00:00Z,138742
2021-02-18T00:00:00Z,85372
2021-02-19T00:00:00Z,148498
2021-02-20T00:00:00Z,137206
2021-02-21T00:00:00Z,144799
2021-02-22T00:00:00Z,137148
2021-02-23T00:00:00Z,110818
2021-02-24T00:00:00Z,137649
2021-02-25T00:00:00Z,143694
2021-02-26T00:00:00Z,132421
2021-02-27T00:00:00Z,129983
2021-02-28T00:00:00Z,138441
2021-03-01T00:00:00Z,139771
2021-03-02T00:00:00Z,134468
2021-03-03T00:00:00Z,144217
2021-03-04T00:00:00Z,146416
2021-03-05T00:00:00Z,172574
2021-03-06T00:00:00Z,157542
2021-03-07T00:00:00Z,166638
2021-03-08T00:00:00Z,168768
2021-03-09T00:00:00Z,169640
2021-03-10T00:00:00Z,159928
2021-03-11T00:00:00Z,159486
2021-03-12T00:00:00Z,169407
2021-03-13T00:00:00Z,167234
2021-03-14T00:00:00Z,185376
2021-03-15T00:00:00Z,183030
2021-03-16T00:00:00Z,179250
2021-03-17T00:00:00Z,173810
2021-03-18T00:00:00Z,163524
